goodPrimers_10,noAnvil_10,emptyCup_10,goodPrimers_40,noAnvil_40,emptyCup_40
959,84,_,953,374,_
959,78,_,968,327,_
959,52,_,993,303,_
958,20,_,945,312,_
958,145,_,989,291,_
957,117,_,958,245,_
957,91,_,978,254,_
956,60,_,993,350,_
956,150,_,990,232,_
955,60,_,926,267,_
954,55,_,901,408,_
954,55,_,976,381,_
954,147,_,987,251,_
954,51,_,996,304,_
954,75,_,979,344,_
954,34,_,966,232,_
953,35,_,971,376,_
953,3,_,972,293,_
953,27,_,954,279,_
953,79,_,994,275,_
952,62,_,953,61,_
952,62,_,984,316,_
952,83,_,991,225,_
951,128,_,989,266,_
951,102,_,896,296,_
951,37,_,984,259,_
950,42,_,973,299,_
950,54,_,950,306,_
949,71,_,981,333,_
949,90,_,995,289,_
948,121,_,926,313,_
948,24,_,912,281,_
948,83,_,914,260,_
948,113,_,914,275,_
947,113,_,921,365,_
947,3,_,933,313,_
947,45,_,971,278,_
946,86,_,982,292,_
946,76,_,970,248,_
944,3,_,912,362,_
944,145,_,977,268,_
943,123,_,984,225,_
943,4,_,986,375,_
943,33,_,930,256,_
943,3,_,993,198,_
942,151,_,958,272,_
941,49,_,979,295,_
940,669,_,896,218,_
940,135,_,953,400,_
940,11,_,993,369,_
940,42,_,968,260,_
940,139,_,947,270,_
939,96,_,979,345,_
939,66,_,965,341,_
939,59,_,967,261,_
939,108,_,976,247,_
938,31,_,985,402,_
937,113,_,983,288,_
936,58,_,927,281,_
936,121,_,916,270,_
935,121,_,984,252,_
935,103,_,952,246,_
935,89,_,983,200,_
935,87,_,983,276,_
934,95,_,983,295,_
934,55,_,988,215,_
934,97,_,925,285,_
934,3,_,980,338,_
933,56,_,989,260,_
933,65,_,996,310,_
932,103,_,993,300,_
932,113,_,991,322,_
932,80,_,990,286,_
930,3,_,892,4,_
929,63,_,988,292,_
929,120,_,890,249,_
928,109,_,990,276,_
927,51,_,943,130,_
927,93,_,965,241,_
926,132,_,933,280,_
925,161,_,985,282,_
925,37,_,981,231,_
923,41,_,985,430,_
923,107,_,945,279,_
922,102,_,965,136,_
922,26,_,982,366,_
921,140,_,986,247,_
919,44,_,917,263,_
916,4,_,991,246,_
910,109,_,980,281,_
907,114,_,980,288,_
906,77,_,996,662,_
904,53,_,951,242,_
903,71,_,988,319,_
902,47,_,994,286,_
901,48,_,984,326,_
898,52,_,971,286,_
888,65,_,990,281,_
887,48,_,970,402,_
885,119,_,975,297,_
883,86,_,988,240,_
882,60,_,972,246,_
873,23,_,960,252,_
775,72,_,985,232,_
939,115,_,983,282,_
905,88,_,989,320,_
983,137,_,963,274,_
899,99,_,990,343,_
946,41,_,988,261,_
916,60,_,940,287,_
981,65,_,912,781,_
954,60,_,950,791,_
925,143,_,940,786,_
971,129,_,990,839,_
896,110,_,941,794,_
916,117,_,920,_,_
958,86,_,947,_,_
911,78,_,963,_,_
942,25,_,964,_,_
952,43,_,978,_,_
872,137,_,966,_,_
976,43,_,987,_,_
939,25,_,974,_,_
928,128,_,891,_,_
985,82,_,973,_,_
946,48,_,996,_,_
910,129,_,907,_,_
954,33,_,944,_,_
929,97,_,976,_,_
948,621,_,878,_,_
977,62,_,984,_,_
972,70,_,901,_,_
951,29,_,933,_,_
946,66,_,989,_,_
936,88,_,986,_,_
978,61,_,989,_,_
862,145,_,959,_,_
968,124,_,959,_,_
973,110,_,904,_,_
983,51,_,988,_,_
955,108,_,948,_,_
959,61,_,952,_,_
948,137,_,957,_,_
940,49,_,970,_,_
929,3,_,990,_,_
978,141,_,919,_,_
917,58,_,982,_,_
898,92,_,989,_,_
942,108,_,991,_,_
962,130,_,994,_,_
949,46,_,994,_,_
940,35,_,938,_,_
908,126,_,987,_,_
972,105,_,954,_,_
975,60,_,919,_,_
983,108,_,944,_,_
943,117,_,_,_,_
951,39,_,_,_,_
926,135,_,_,_,_
925,71,_,_,_,_
970,3,_,_,_,_
968,49,_,_,_,_
964,100,_,_,_,_
930,110,_,_,_,_
915,132,_,_,_,_
965,58,_,_,_,_
963,66,_,_,_,_
962,61,_,_,_,_
917,37,_,_,_,_
958,204,_,_,_,_
954,74,_,_,_,_
958,48,_,_,_,_
957,113,_,_,_,_
913,79,_,_,_,_
902,154,_,_,_,_
978,116,_,_,_,_
922,84,_,_,_,_
990,98,_,_,_,_
990,49,_,_,_,_
990,37,_,_,_,_
989,59,_,_,_,_
988,55,_,_,_,_
988,27,_,_,_,_
988,110,_,_,_,_
986,124,_,_,_,_
985,28,_,_,_,_
985,28,_,_,_,_
984,143,_,_,_,_
983,4,_,_,_,_
983,126,_,_,_,_
982,121,_,_,_,_
981,88,_,_,_,_
980,18,_,_,_,_
978,92,_,_,_,_
978,113,_,_,_,_
978,32,_,_,_,_
978,108,_,_,_,_
977,112,_,_,_,_
977,93,_,_,_,_
976,125,_,_,_,_
975,87,_,_,_,_
975,113,_,_,_,_
974,47,_,_,_,_
973,109,_,_,_,_
973,51,_,_,_,_
973,56,_,_,_,_
973,77,_,_,_,_
972,44,_,_,_,_
972,56,_,_,_,_
971,56,_,_,_,_
970,159,_,_,_,_
970,313,_,_,_,_
969,80,_,_,_,_
969,28,_,_,_,_
969,778,_,_,_,_
969,770,_,_,_,_
969,797,_,_,_,_
969,765,_,_,_,_
968,786,_,_,_,_
968,_,_,_,_,_
968,_,_,_,_,_
968,_,_,_,_,_
968,_,_,_,_,_
966,_,_,_,_,_
966,_,_,_,_,_
966,_,_,_,_,_
966,_,_,_,_,_
965,_,_,_,_,_
965,_,_,_,_,_
964,_,_,_,_,_
964,_,_,_,_,_
963,_,_,_,_,_
963,_,_,_,_,_
963,_,_,_,_,_
963,_,_,_,_,_
961,_,_,_,_,_
960,_,_,_,_,_
960,_,_,_,_,_
960,_,_,_,_,_
960,_,_,_,_,_
959,_,_,_,_,_
959,_,_,_,_,_
959,_,_,_,_,_
958,_,_,_,_,_
958,_,_,_,_,_
957,_,_,_,_,_
957,_,_,_,_,_
956,_,_,_,_,_
956,_,_,_,_,_
955,_,_,_,_,_
954,_,_,_,_,_
954,_,_,_,_,_
954,_,_,_,_,_
954,_,_,_,_,_
954,_,_,_,_,_
954,_,_,_,_,_
953,_,_,_,_,_
953,_,_,_,_,_
953,_,_,_,_,_
953,_,_,_,_,_
952,_,_,_,_,_
952,_,_,_,_,_
952,_,_,_,_,_
951,_,_,_,_,_
951,_,_,_,_,_
951,_,_,_,_,_
950,_,_,_,_,_
950,_,_,_,_,_
949,_,_,_,_,_
949,_,_,_,_,_
948,_,_,_,_,_
948,_,_,_,_,_
948,_,_,_,_,_
948,_,_,_,_,_
947,_,_,_,_,_
947,_,_,_,_,_
947,_,_,_,_,_
946,_,_,_,_,_
946,_,_,_,_,_
944,_,_,_,_,_
944,_,_,_,_,_
943,_,_,_,_,_
943,_,_,_,_,_
943,_,_,_,_,_
943,_,_,_,_,_
942,_,_,_,_,_
941,_,_,_,_,_
940,_,_,_,_,_
940,_,_,_,_,_
940,_,_,_,_,_
940,_,_,_,_,_
940,_,_,_,_,_
939,_,_,_,_,_
939,_,_,_,_,_
939,_,_,_,_,_
939,_,_,_,_,_
938,_,_,_,_,_
937,_,_,_,_,_
936,_,_,_,_,_
936,_,_,_,_,_
935,_,_,_,_,_
935,_,_,_,_,_
935,_,_,_,_,_
935,_,_,_,_,_
934,_,_,_,_,_
934,_,_,_,_,_
934,_,_,_,_,_
934,_,_,_,_,_
933,_,_,_,_,_
933,_,_,_,_,_
932,_,_,_,_,_
932,_,_,_,_,_
932,_,_,_,_,_
930,_,_,_,_,_
929,_,_,_,_,_
929,_,_,_,_,_
928,_,_,_,_,_
927,_,_,_,_,_
927,_,_,_,_,_
926,_,_,_,_,_
925,_,_,_,_,_
925,_,_,_,_,_
923,_,_,_,_,_
923,_,_,_,_,_
922,_,_,_,_,_
922,_,_,_,_,_
921,_,_,_,_,_
919,_,_,_,_,_
916,_,_,_,_,_
910,_,_,_,_,_
907,_,_,_,_,_
906,_,_,_,_,_
904,_,_,_,_,_
903,_,_,_,_,_
902,_,_,_,_,_
901,_,_,_,_,_
898,_,_,_,_,_
888,_,_,_,_,_
887,_,_,_,_,_
885,_,_,_,_,_
883,_,_,_,_,_
882,_,_,_,_,_
358,_,_,_,_,_
355,_,_,_,_,_
305,_,_,_,_,_
298,_,_,_,_,_
